"","nfi_plot","meas_date","time_step","meas_year"
"618",1307826,2008-06-10,"t2",2008
"619",1307826,2018-08-02,"t3",2018
"620",1307926,2003-08-30,"t1",2003
"621",1307926,2009-08-19,"t2",2009
"622",1307926,2019-09-19,"t3",2019
"623",1314251,2003-07-23,"t1",2003
"624",1314251,2017-07-27,"t2",2017
"625",1314291,2002-06-27,"t1",2002
"626",1314291,2017-08-20,"t2",2017
"627",1314311,2002-08-12,"t1",2002
"628",1314311,2014-07-21,"t2",2014
"629",1314351,2002-08-14,"t1",2002
"630",1314351,2014-08-18,"t2",2014
"631",1314376,2002-08-16,"t1",2002
"632",1314376,2014-08-23,"t2",2014
"633",1314711,2003-06-07,"t1",2003
"634",1314711,2018-08-24,"t2",2018
"635",1314811,2003-06-05,"t1",2003
"636",1314811,2009-06-03,"t2",2009
"637",1314811,2019-06-22,"t3",2019
"638",1321206,2004-08-24,"t1",2004
"639",1321206,2014-07-27,"t2",2014
"640",1321236,2003-07-14,"t1",2003
"641",1321236,2014-08-18,"t2",2014
"642",1321581,2003-09-05,"t1",2003
"643",1321581,2013-08-26,"t2",2013
"644",1321586,2003-06-03,"t1",2003
"645",1321586,2008-06-23,"t2",2008
"646",1321586,2018-08-02,"t3",2018
"647",1321686,2003-06-03,"t1",2003
"648",1321686,2009-06-01,"t2",2009
"649",1321686,2019-06-20,"t3",2019
"650",1327976,2004-07-02,"t1",2004
"651",1327976,2017-08-14,"t2",2017
"652",1328066,2001-06-24,"t1",2001
"653",1328066,2014-08-12,"t2",2014
"654",1328086,2002-08-13,"t1",2002
"655",1328086,2014-07-19,"t2",2014
"656",1328496,2003-08-06,"t1",2003
"657",1328581,2004-08-09,"t1",2004
"658",1328581,2009-08-04,"t2",2009
"659",1328581,2019-09-18,"t3",2019
"660",1328586,2003-06-22,"t1",2003
"661",1328586,2014-06-19,"t2",2014
"662",1334886,2003-09-09,"t1",2003
"663",1334886,2017-08-09,"t2",2017
"664",1334961,2003-06-16,"t1",2003
