"","ABIE AMA","ABIE BAL","ABIE LAS","ACER MAC","ALNU INC","ALNU RUB","AMEL ALN","BETU OCC","BETU PAP","BETU PAP NEO","BETU PAP PAP","CHAM NOO","CORN STO","JUNI SCO","LARI LYA","LARI OCC","PICE ENG","PICE ENG GLA","PICE GLA","PICE MAR","PICE SIT","PINU ALB","PINU BAN","PINU CON","PINU CON CON","PINU CON LAT","PINU PON","POPU BAL","POPU TRE","PRUN VIR","PSEU MEN","PSEU MEN GLA","PSEU MEN MEN","QUER MAC","SALI SCO","TAXU BRE","THUJ PLI","TSUG HET","TSUG MER"
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992.865802,0,0,0,0,281.05285,0,0,0,0,3330.452248,0,0,0,0,0,0,0,0,0,0
"132",0,0,0,0,0,0,0,0,11.1923,0,0,0,0,0,0,0,0,0,0,818.155,0,0,440.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",0,0,4477.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",0,0,6948.118,0,0,0,0,0,0,0,0,0,0,0,0,0,111.7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",0,0,2428.66114,0,0,0,0,0,0,0,0,0,0,0,0,0,4325.76286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.76663,0,0,0,0,0,0,0,12.10877,0,0,0,0,0,0,0,0,0,0,0
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",0,0,6717.08806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.08592,0,0,0,0,0,0,0,723.80252,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",0,0,11721.27775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672.4435,0,0,0,0,0,0,0,765.3555,0,0,0,0,0,0,0,0,0,0,0,0,0
