"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","percent/100 * biomass_total"
"30",1135826,"2003-JUL-01",34.3483,0,1,"PICE","MAR",NA,100,1,6210000,530000,34.3483
"31",1135876,"2003-AUG-16",16.0488,0,2,"BETU","PAP",NA,12,0.065,6140000,340000,1.925856
"32",1135876,"2003-AUG-16",16.0488,0,1,"PICE","MAR",NA,88,0.935,6140000,340000,14.122944
"33",1135876,"2017-JUN-08",25.0011,1,1,"PICE","MAR",NA,98,0.875,6140000,720000,24.501078
"34",1135876,"2017-JUN-08",25.0011,1,2,"BETU","PAP","PAP",2,0.125,6140000,720000,0.500022
"35",1142656,"2004-JUL-22",88.9946,0,1,"PICE","MAR",NA,100,1,6270000,340000,88.9946
"36",1142656,"2010-JUL-10",71.2382,1,1,"PICE","MAR",NA,100,1,6270000,340000,71.2382
"37",1149546,"2004-JUL-22",54.062,0,1,"PICE","MAR",NA,100,1,6240000,370000,54.062
"38",1149546,"2015-AUG-19",53.7581,1,1,"PICE","MAR",NA,100,1,6240000,370000,53.7581
"39",1149556,"2004-JUL-24",179.55,0,1,"PICE","MAR",NA,96,0.903,6220000,410000,172.368
"40",1149556,"2004-JUL-24",179.55,0,2,"SALI","SPP",NA,4,0.097,6220000,410000,7.182
"41",1149556,"2015-AUG-20",166.4909,1,1,"PICE","MAR",NA,100,1,6220000,410000,166.4909
"42",1149626,"2004-JUL-09",103.9731,0,1,"PICE","MAR",NA,94,0.889,6120000,670000,97.734714
"43",1149626,"2017-JUN-20",87.9456,1,1,"PICE","MAR",NA,100,1,6120000,670000,87.9456
"44",1149636,"2003-JUL-18",24.9978,0,1,"PICE","MAR",NA,100,1,6100000,320000,24.9978
"45",1149636,"2017-JUN-09",55.1245,1,1,"PICE","MAR",NA,100,1,6100000,710000,55.1245
"46",1156421,"2004-JUN-23",54.0946,0,1,"PICE","MAR",NA,99,0.857,6230000,350000,53.553654
"47",1156421,"2004-JUN-23",54.0946,0,2,"SALI","SPP",NA,1,0.143,6230000,350000,0.540946
"48",1156421,"2015-JUN-25",28.8261,1,1,"PICE","MAR",NA,99,0.714,6230000,350000,28.537839
"49",1156461,"2003-AUG-18",154.5702,0,2,"POPU","TRE",NA,44,0.217,6170000,490000,68.010888
