"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"68",1135471,"2019-JUL-22",1,0,0,0,0.27,0.24,0.46
"69",1142211,"2003-JUN-24",0,0,0,0,0,0,0
"70",1142211,"2021-AUG-16",1,0,0,0,0,0,0
"71",1142241,"2003-JUN-25",0,0,0,0,0,0,0
"72",1142241,"2021-JUL-14",1,0.56,0.81,0.72,0,0,0
"73",1142316,"2003-JUL-30",0,0,0,0,0.11,0.16,0.27
"74",1142316,"2020-JUL-06",1,0.53,0.76,0.46,0,0,0
"75",1142331,"2004-AUG-14",0,0.26,0.37,0.38,0,0,0
"76",1142331,"2019-JUL-06",1,0.22,0.31,0.35,0,0,0
"77",1142341,"2004-AUG-20",0,0.69,1,0.56,0,0,0
"78",1142341,"2019-JUL-23",1,0.69,1,0.72,0.56,0.81,0.72
"79",1149076,"2001-AUG-23",0,0,0,0,0,0,0
"80",1149076,"2021-JUL-22",1,0,0,0,0,0,0
"81",1149111,"2003-JUL-26",0,0.54,0.77,0.32,0.55,0.79,0.35
"82",1149111,"2021-AUG-18",1,0.64,0.93,0.31,0.68,0.99,0.51
"83",1149116,"2002-JUL-23",0,0.12,0.18,0.23,0,0,0
"84",1149116,"2021-JUL-16",1,0.13,0.19,0.24,0,0,0
"85",1149246,"2001-JUL-19",0,0,0,0,0.13,0.12,0.45
"86",1149246,"2019-JUL-11",1,0,0,0,0,0,0
"87",1156121,"2003-JUN-18",0,0.67,0.61,0.54,0.68,0.98,0.26
"88",1156121,"2019-JUL-12",1,0.72,0.52,0.78,0.18,0.26,0.32
"89",1162841,"2003-JUN-26",0,0,0,0,0,0,0
"90",1162841,"2021-JUL-15",1,0,0,0,0,0,0
"91",1162966,"2004-AUG-24",0,0.94,0.85,0.48,0.9,0.82,0.76
"92",1162966,"2020-JUL-07",1,0.95,0.86,0.49,0.69,1,0.72
"93",1162986,"2001-JUL-21",0,0.38,0.54,0.48,0,0,0
"94",1162986,"2019-JUL-09",1,0.69,0.99,0.42,0,0,0
"95",1163006,"2001-JUL-19",0,0.65,0.94,0.35,0.5,0.72,0.33
"96",1163006,"2019-JUL-17",1,0.58,0.84,0.37,0.68,0.99,0.33
"97",1169726,"2002-JUL-22",0,0.43,0.62,0.27,0.27,0.4,0.22
"98",1169726,"2021-JUL-24",1,0,0,0,0,0,0
"99",1169811,"2003-JUL-24",0,1.05,0.96,0.59,0,0,0
"100",1169811,"2018-JUL-17",1,1.01,0.92,0.61,0,0,0
"101",1176611,"2002-AUG-01",0,0.74,0.67,0.63,0,0,0
"102",1176611,"2021-AUG-07",1,0.84,0.77,0.68,0,0,0
"103",1176651,"2001-AUG-18",0,0,0,0,0,0,0
"104",1176651,"2021-AUG-04",1,0,0,0,0,0,0
"105",1176656,"2003-JUN-27",0,0,0,0,0,0,0
"106",1176656,"2021-JUL-31",1,0,0,0,0,0,0
"107",1176756,"2003-JUN-20",0,0,0,0,0,0,0
"108",1176756,"2019-JUL-14",1,0,0,0,0.11,0.16,0.27
"109",1183511,"2003-JUL-01",0,0.94,0.86,0.87,0,0,0
"110",1183511,"2021-AUG-08",1,1.09,0.99,0.78,0,0,0
"111",1183516,"2005-JUL-18",0,0.92,0.83,0.68,0.41,0.59,0.51
"112",1183516,"2021-JUL-29",1,1.05,0.95,0.66,0,0,0
"113",1183536,"2003-JUN-28",0,0,0,0,0,0,0
"114",1183536,"2021-JUL-28",1,0,0,0,0,0,0
"115",1183601,"2003-JUN-21",0,0.24,0.35,0.24,0,0,0
"116",1183601,"2019-JUL-20",1,0.25,0.36,0.25,0,0,0
"117",1190376,"2002-JUL-24",0,0.53,0.77,0.27,0.41,0.59,0.38
"118",1190376,"2021-AUG-02",1,0.56,0.81,0.26,0,0,0
"119",1190456,"2003-JUL-25",0,0.74,0.67,0.6,0.66,0.95,0.42
"120",1190456,"2018-JUL-14",1,0.66,0.96,0.3,0,0,0
"121",1197326,"2005-JUL-16",0,0,0,0,0,0,0
"122",1197326,"2018-JUL-19",1,0,0,0,0,0,0
"123",1197411,"2001-JUL-24",0,0,0,0,0.35,0.5,0.46
"124",1197411,"2019-SEP-08",1,0.64,0.92,0.4,0,0,0
"125",1204221,"2001-AUG-01",0,0.69,1,0.36,0,0,0
"126",1204221,"2018-JUL-16",1,0.47,0.68,0.42,0.54,0.49,0.78
"127",1204241,"2000-AUG-27",0,0,0,0,0,0,0
"128",1204241,"2019-JUL-30",1,0,0,0,0,0,0
"129",1204261,"2003-JUN-26",0,0,0,0,0.04,0.06,0.2
"130",1204261,"2019-JUL-26",1,0.09,0.12,0.24,0,0,0
"131",1204271,"2002-JUL-21",0,0.54,0.49,0.78,1.09,1,0.72
"132",1204271,"2019-JUL-27",1,0.96,0.87,0.76,0.34,0.48,0.34
"133",1204276,"2001-JUL-27",0,0.47,0.67,0.35,0,0,0
"134",1204276,"2019-JUL-25",1,0,0,0,0,0,0
"135",1204281,"2001-JUL-25",0,0.58,0.53,0.46,0.5,0.72,0.31
"136",1204281,"2019-JUL-23",1,0.73,0.67,0.47,0.53,0.76,0.46
"137",1211016,"2002-JUL-25",0,0,0,0,0,0,0
"138",1211016,"2021-AUG-16",1,0,0,0,0,0,0
"139",1211056,"2005-JUL-17",0,0.09,0.13,0.25,0,0,0
"140",1211056,"2018-JUL-12",1,0.09,0.14,0.25,0,0,0
