"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"269",1321586,0,2,1,"POPU","TRE","",78.8,0.899,"2018-AUG-02",5710000,330000
"270",1321686,0,1,3,"POPU","TRE","",8.3,0.25,"2009-JUN-01",5560000,700000
"271",1321686,0,2,1,"POPU","TRE","",53.8,0.68,"2019-JUN-20",5560000,700000
"272",1321686,0,2,2,"BETU","PAP","",28.6,0.28,"2019-JUN-20",5560000,700000
"273",1321686,0,2,3,"PINU","BAN","",17.6,0.04,"2019-JUN-20",5560000,700000
"274",1328496,0,0,4,"QUER","MAC","",5.1,0.094,"2003-AUG-06",5650000,440000
"275",1328496,0,1,4,"QUER","MAC","",6,0.097,"2013-AUG-11",5650000,440000
"276",1328581,0,0,1,"PICE","MAR","",65,0.667,"2004-AUG-09",5520000,320000
"277",1328581,0,0,2,"LARI","LAR","",35,0.333,"2004-AUG-09",5520000,320000
"278",1328581,0,1,1,"PICE","MAR","",73.8,0.75,"2009-AUG-04",5520000,320000
"279",1328581,0,1,2,"LARI","LAR","",26.2,0.25,"2009-AUG-04",5520000,320000
"280",1328581,0,2,1,"PICE","MAR","",83.9,0.857,"2019-SEP-18",5520000,320000
"281",1328581,0,2,2,"LARI","LAR","",16.1,0.143,"2019-SEP-18",5520000,320000
"282",1328586,0,0,1,"PICE","MAR","",100,1,"2003-JUN-22",5510000,340000
"283",1328586,0,1,1,"PICE","MAR","",78.3,0.75,"2014-JUN-19",5510000,340000
"284",1328586,0,1,2,"LARI","LAR","",21.7,0.25,"2014-JUN-19",5510000,340000
"285",1335371,0,0,1,"POPU","TRE","",72.8,0.5,"2003-JUL-31",5640000,410000
"286",1335371,0,0,2,"POPU","BAL","",26.4,0.333,"2003-JUL-31",5640000,410000
"287",1335371,0,0,3,"PICE","GLA","",0.8,0.167,"2003-JUL-31",5640000,410000
"288",1335381,0,0,4,"BETU","PAP","",13,0.056,"2003-JUL-31",5620000,450000
